campaign_name,total_clicks,total_impressions,total_orders,total_spend,total_revenue,avg_ctr,avg_conversion_rate,avg_roi
youtube_blogger,450014,43688313,1914,4057936.51,15311433,0.009873351850059693,0.004580158539295139,4.068700436262824
banner_partner,420003,1068337427,1566,5026674.760000001,6152960,0.0012900656968541462,0.0033611745096435645,1.2422605435443326
instagram_blogger,299959,34112411,1100,4247367.570000001,5808454,0.00979404028381611,0.0035433260118290133,1.3313781001918252
instagram_tier1,269961,75136799,758,2565277.2500000005,4544124,0.004434537952404119,0.0023693875671006647,1.6459207759482204
facebOOK_tier2,329973,69623161,688,4693870.97,3463306,0.005385755304653216,0.0019520241130330396,0.7091523279065565
facebook_tier1,239997,63044882,474,2564793.480000001,2396412,0.004982145935768401,0.0025390139592436764,0.9336241014258432
google_hot,90048,4628993,281,1199998.7599999998,2205747,0.019430141111694492,0.0028776814221006743,1.7086533327481077
google_wide,240006,67669259,547,2260401.3100000005,1499318,0.0051636431849831025,0.002056503081668381,0.6741741092915104
instagram_tier2,509992,137806768,313,1066153.7499999998,670460,0.005051036842980898,0.0005963012887520898,0.6004988657230036
facebook_retargeting,29954,976685,108,266466.2199999999,536919,0.030419480949095728,0.004227551702326257,2.4502626346258056
facebook_lal,120012,12697701,294,2641939.2399999998,300233,0.009691525788630029,0.0026062747503276225,0.11910185392143598
